Molecule name,class,dataset,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3
Row774,0,test,1.5824,20.488,27.14447434,0,56.108,56.06260026,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0.5
Row775,0,test,0.1644,21.362,36.15712157,34.14,86.09,86.03677943,2,0,1,0,2,0,2,6,12,0,0,0,0,0,0,0,0,0,0,0.5
Row776,0,test,1.6042,50.3697,76.76407796,46.17,177.203,177.0789786,3,1,3,1,2,1,3,13,24,1,1,0,0,0,0,0,1,0,0,0.2
Row777,0,test,1.9138,47.1088,71.84692743,37.3,164.204,164.0837296,2,1,3,1,2,0,2,12,24,1,1,0,0,0,0,0,1,0,0,0.3
Row778,0,test,1.5725,53.7845,86.30513949,63.24,233.676,232.9913418,4,1,2,1,3,1,6,14,22,1,1,0,0,0,0,0,1,0,0,0.125
Row779,0,test,4.0633,95.423,150.1259226,43.37,340.463,340.2038448,3,0,1,0,3,0,3,25,53,4,0,3,4,0,0,0,0,3,4,0.727272727
Row780,0,test,4.83678,111.0425,184.3071232,76.39,447.453,447.1657429,5,0,7,0,5,0,8,32,56,2,2,0,0,0,0,0,2,0,0,0.375
Row781,0,test,2.7966,50.5295,73.41763579,17.07,162.232,162.1044651,1,0,1,0,1,0,1,12,26,1,1,0,0,0,0,0,1,0,0,0.363636364
Row782,0,test,2.6897,46.8068,67.68540533,20.23,150.221,150.1044651,1,1,0,1,1,0,1,11,25,1,1,0,0,0,0,0,1,0,0,0.4
Row783,0,test,0.7772,21.9718,32.62831112,20.23,74.123,74.07316494,1,1,0,1,1,0,1,5,15,0,0,0,0,0,0,0,0,0,0,1
Row784,0,test,2.5735,52.6955,83.57402157,35.53,194.23,194.0942943,3,0,2,0,3,0,3,14,28,1,1,0,0,0,0,0,1,0,0,0.363636364
